C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:33:20

sptypes = 'A'
-------------

Number of objects : 11389

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
165  |HD 9016                            |*  |01 29 54.0615669058 +53 21 15.142256851|     ~| 9.07 | 8.65 |     ~|     ~|A              |   1|   0
166  |HD 9087                            |*  |01 30 34.4746024922 +53 38 53.323109917|     ~| 9.53 | 9.18 |     ~|     ~|A              |   3|   0
167  |HD 9384                            |*  |01 33 30.8879567961 +53 51 44.372477902|     ~| 9.65 | 9.58 |     ~|     ~|A              |   4|   0
168  |HD 9975                            |*  |01 38 46.6285830245 +53 16 06.728315115|     ~| 9.07 | 9.00 |     ~|     ~|A              |   3|   0
169  |HD 232490A                         |*  |01 39 18.8505594380 +52 57 12.913352803|     ~|10.09 | 9.86 |10.00 |     ~|A              |   3|   0
170  |BD+51 431                          |*  |01 54 07.3852769872 +51 46 21.781398827|     ~|10.00 | 9.66 |     ~|     ~|Am             |   2|   0
171  |BD+51 469                          |*  |02 02 02.6853370679 +51 51 05.582460187|     ~| 9.87 | 9.84 |     ~|     ~|Ap             |   4|   0
172  |HD 16185                           |*  |02 37 24.5516001959 +46 21 17.377201734|     ~| 9.54 | 9.20 |     ~|     ~|A              |   5|   0
173  |HD 275339                          |*  |03 28 22.7128878298 +41 30 11.753822358|     ~|11.45 |10.93 |     ~|     ~|A              |   1|   0
174  |HD 275532                          |*  |03 36 23.7697287943 +40 34 33.612943494|     ~|11.43 |11.19 |     ~|     ~|A              |   2|   0
175  |V* V691 Per                        |dS*|03 37 15.0164313607 +40 53 59.474808593|     ~|11.65 |11.19 |     ~|     ~|A              |   3|   0
176  |HD 275546                          |*  |03 35 31.1590746075 +39 37 07.042658061|     ~|11.82 |12.04 |     ~|     ~|A              |   1|   0
177  |HD 228711                          |*  |20 16 40.6014439388 +41 14 41.094044055|     ~|11.19 |11.02 |     ~|     ~|A              |   2|   0
178  |HD 228112                          |*  |20 10 29.1971958980 +41 09 28.956341134|     ~| 9.225| 8.989|     ~|     ~|ApSr:          |   9|   0
179  |HD 192224                          |*  |20 12 07.9943350727 +41 21 00.645464854|     ~| 8.98 | 8.83 |     ~|     ~|Ap             |  15|   0
180  |HD 228445                          |*  |20 13 41.1544072456 +41 13 33.781025334|     ~| 9.59 | 9.315|     ~|     ~|Am             |   9|   0
181  |HD 228446                          |** |20 13 44.68890 +40 50 19.4389          |     ~|10.166| 9.904|     ~|     ~|A              |  11|   1
182  |HD 192638                          |*  |20 14 17.7941696775 +40 42 37.933734772|     ~| 8.70 | 8.43 |     ~|     ~|A              |   5|   0
183  |HD 228925                          |*  |20 19 28.9012365775 +41 41 07.591887853|     ~|11.08 |10.69 |     ~|     ~|A              |   2|   0
184  |BD+40 4008                         |** |20 05 10.8667 +40 44 05.114            |     ~| 9.30 | 9.16 |     ~|     ~|A              |   1|   0
185  |HD 193091                          |*  |20 16 52.4382572944 +42 52 15.809571452|     ~| 8.65 | 8.67 |     ~|     ~|A              |   8|   0
