C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET22:57:14

sptypes = 'O'
-------------

Number of objects : 1597

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |   spec. type    |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------|----|----
159 |BPS CS 22892-0051                  |HS*|22 16 04.4872564964 -17 19 47.330241856|13.07 |14.30 |14.66 |     ~|     ~|sdOHe            |   8|   0
160 |PHL 149                            |HS*|21 47 52.4560868102 -12 35 44.300270512|13.09 |14.27 |14.55 |14.86 |     ~|sdOHe            |   5|   0
161 |PHL 443                            |HS*|23 17 35.5223525282 -09 02 19.660935708|     ~|13.88 |14.09 |     ~|     ~|sdOHe            |   7|   0
162 |PHL 540                            |HS*|23 29 09.8486342010 -10 06 06.139625713|     ~|13.13 |13.35 |13.71 |     ~|sdO              |   8|   0
163 |BD-11 162                          |HS*|00 52 15.0693172232 -10 39 46.054602260| 9.987|11.102|11.184|11.133|11.039|sdO+G            |  39|   0
164 |PHL 56                             |HS*|21 36 10.2320908033 -02 24 41.917607265|     ~|15.3  |15.6  |     ~|     ~|sdO              |   4|   0
165 |PHL 593                            |HS*|23 57 01.3058629834 -02 50 27.791556267|     ~|14.69 |14.9  |     ~|     ~|sdOHe            |   4|   0
166 |KPD 0720-0003                      |HS*|07 22 56.2452318710 -00 09 37.410395060|14.36 |15.61 |15.78 |15.87 |     ~|sdO              |   9|   0
167 |V* EO Cet                          |HS*|01 23 43.2472884132 -05 05 45.831031643|     ~|12.21 |12.65 |     ~|     ~|sdOV+F4V         |  57|   0
168 |PB 5728                            |HS*|00 06 07.8867637184 -01 03 21.190628134|     ~|16.9  |     ~|18.2  |     ~|sdOHe            |  10|   0
169 |GD 934                             |HS*|01 14 18.6154214499 -00 49 13.610542349|     ~|14.5  |13.3  |     ~|     ~|sdO              |   8|   0
170 |PG 2110+001                        |HS*|21 13 18.3672617270 +00 17 38.347428166|     ~|16.31 |16.39 |16.30 |     ~|sdOHe            |  11|   0
171 |PB 5010                            |HS*|21 56 48.7158870914 +00 36 20.790611748|     ~|17.8  |     ~|18.2  |     ~|sdO              |  10|   0
172 |PG 2303+013                        |HS*|23 06 38.1659593415 +01 35 09.183742323|     ~|15.74 |15.74 |16.36 |     ~|sdO(He)          |   8|   0
173 |PG 2333-002                        |HS*|23 35 41.4717647664 +00 02 19.522538544|     ~|15.99 |16.0  |     ~|     ~|sdOHe            |  22|   0
