C.D.S.  -  SIMBAD4 rel 1.7  -  2021.01.06CET23:40:58

sptypes = 'M'
-------------

Number of objects : 3876

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
3024|2MASS J12061826-0350449            |RG*|12 06 18.2656764339 -03 50 44.964329047|     ~|12.651|10.881|     ~|     ~|M              |   2|   0
3025|2MASS J14045147-0041565            |RG*|14 04 51.4683952166 -00 41 56.484994505|     ~|13.18 |11.43 |     ~|     ~|M              |   1|   0
3026|CD-35 2372                         |*  |05 33 36.9748742889 -35 41 05.526031480|     ~|13.11 |12.43 |     ~|     ~|MV             |   2|   0
3027|TYC 7596-23-1                      |*  |05 39 15.7690370874 -37 45 56.180239221|     ~|12.84 |11.98 |     ~|     ~|MV             |   1|   0
3028|TYC 7933-854-1                     |*  |19 48 46.6516558809 -38 22 33.078878905|     ~|12.619|11.251|     ~|     ~|MIII           |   2|   0
3029|CD-38 13743                        |*  |19 54 05.0460527521 -38 27 19.432698318|     ~|12.66 |11.89 |     ~|     ~|MIII           |   1|   0
3030|TYC 7934-1470-1                    |*  |19 53 00.0073222808 -38 11 19.770770161|     ~|13.38 |11.03 |     ~|     ~|MIII           |   1|   0
3031|CD-41 13748                        |*  |19 54 17.8681281707 -41 06 19.443127019|     ~|12.72 |11.20 |     ~|     ~|MIII           |   1|   0
3032|CD-40 13571                        |*  |19 57 20.0050753255 -40 21 40.715794311|     ~|13.246|11.710|     ~|     ~|MIII           |   2|   0
3033|CD-41 13707                        |*  |19 49 55.8562597701 -41 21 02.784793924|     ~|13.17 |11.39 |     ~|     ~|MIII           |   1|   0
3034|TYC 7942-1959-1                    |*  |19 59 43.8159851568 -41 46 28.790942752|     ~|13.38 |11.43 |     ~|     ~|MIII           |   1|   0
3035|CD-41 13799                        |*  |20 00 20.1009170957 -41 26 16.352672866|     ~|12.679|11.058|     ~|     ~|MIII           |   2|   0
3036|CD-42 15964                        |*  |22 32 59.5320630323 -41 48 57.052290505|     ~|12.852|11.311|     ~|     ~|MIII           |   2|   0
3037|TYC 8007-374-1                     |*  |22 49 26.5252380196 -40 27 11.177017209|     ~|14.08 |11.46 |     ~|     ~|MIII           |   1|   0
3038|TYC 8627-310-1                     |*  |11 06 29.2495888447 -59 35 15.171596079|15.17 |12.70 |10.95 |     ~|     ~|M              |   1|   0
3039|TYC 8628-33-1                      |*  |11 07 17.2967727402 -59 36 22.879721091|14.90 |12.54 |10.96 |     ~|     ~|M              |   1|   0
3040|IRAS 18413-1735                    |Mi*|18 44 14.9548358478 -17 32 33.688918223|     ~|     ~|     ~|16.52 |10.08 |M              |   7|   0
3041|CD-35 16019B                       |PM*|23 59 36.1283502165 -35 01 57.346224111|     ~|     ~|     ~|     ~|     ~|M              |   3|   0
3042|[LWZ2009] V11                      |LP*|06 04 34.69 +49 58 33.4                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3043|[LWZ2009] V13                      |LP*|06 02 21.61 +50 02 35.5                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3044|[LWZ2009] V15                      |LP*|06 03 07.49 +50 18 13.8                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3045|S1* 90                             |S*?|05 06 21.2594095142 +34 32 15.264816283|     ~|     ~|     ~|13.08 |     ~|MS:            |  10|   1
3046|GIU J185536.03-300617.8            |*  |18 55 36.0013096054 -30 06 16.164091864|     ~|     ~|16.180|     ~|14.268|M              |   2|   0
3047|[BD2011] 121                       |AB*|19 45 18.99 -14 35 02.3                |     ~|     ~|     ~|19.23 |     ~|MIIIev         |   2|   0
3048|ULAS J221747.18+001647.9           |*  |22 17 47.1911511793 +00 16 48.017957953|     ~|18.15 |17.51 |18.52 |     ~|M              |   4|   0
3049|Cl* NGC 231 FMB 3                  |** |00 40 32.622 -73 20 48.65              |     ~|     ~|     ~|     ~|12.90 |M              |   1|   0
3050|[LM84] 2-6                         |*  |22 30 59.71 -40 29 22.6                |     ~|     ~|     ~|     ~|     ~|MV             |   1|   0
3051|SDSS J033659.45+011239.0           |*  |03 36 59.4596675132 +01 12 39.000020948|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3052|SDSS J082249.97+000432.1           |*  |08 22 49.9762414845 +00 04 32.254568014|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3053|2MASS J19350355+3631165            |EB*|19 35 03.5531554562 +36 31 16.533398981|     ~|     ~|     ~|     ~|     ~|M              |  12|   0
3054|Cl* NGC 220 FMB 5                  |AB*|00 40 22.2618261834 -73 22 40.140531994|     ~|18.12 |16.07 |     ~|13.89 |M              |   4|   0
3055|OGLE SMC-LPV-5453                  |LP*|00 45 46.3680717157 -73 31 04.258927885|     ~|     ~|17.053|     ~|15.008|M              |   2|   0
3056|OGLE SMC-LPV-15947                 |LP*|01 04 11.233 -73 18 25.61              |     ~|     ~|17.021|     ~|15.130|M              |   2|   0
3057|2MASS J00315236-7218010            |AB?|00 31 52.3679805925 -72 18 01.098240905|20.54 |18.66 |16.72 |     ~|14.46 |M              |   4|   0
3058|2MASS J00395393-7251246            |AB?|00 39 53.9321934397 -72 51 24.660995395|     ~|18.50 |16.53 |     ~|14.40 |M              |   3|   0
3059|Cl* NGC 220 FMB 4                  |AB*|00 40 12.8362485919 -73 24 05.339871027|18.09 |16.07 |14.26 |     ~|12.41 |M              |   3|   0
3060|Cl* NGC 220 FMB 3                  |AB*|00 40 45.6520692288 -73 25 22.802044571|18.39 |17.30 |15.86 |     ~|13.64 |M              |   3|   0
3061|2MASS J00434592-7223374            |AB?|00 43 45.9410602085 -72 23 37.401217985|20.11 |17.95 |16.30 |     ~|14.15 |M              |   3|   0
3062|SSTISAGEMA J004349.01-733110.9     |*  |00 43 49.0375072351 -73 31 10.826917712|     ~|18.90 |16.87 |     ~|14.61 |M              |   3|   0
3063|SSTISAGEMC J004451.19-715556.9     |*  |00 44 51.2129484332 -71 55 56.962066943|     ~|18.59 |16.60 |     ~|14.85 |M              |   3|   0
3064|2MASS J00453569-7210367            |AB?|00 45 35.6766959601 -72 10 36.736588132|     ~|     ~|     ~|     ~|     ~|M              |   3|   0
3065|2MASS J00471517-7233387            |AB?|00 47 15.174 -72 33 38.79              |17.54 |17.37 |16.30 |     ~|14.75 |M              |   3|   0
3066|SSTISAGEMC J005219.97-721046.2     |*  |00 52 19.9561660872 -72 10 46.229410218|17.89 |17.59 |17.50 |     ~|13.98 |M              |   3|   0
3067|2MASS J00584106-7424596            |AB?|00 58 41.0513553807 -74 24 59.701260444|20.53 |18.33 |16.55 |     ~|14.73 |M              |   3|   0
3068|PMMR 193A                          |s?r|01 15 26.7483669180 -73 20 14.985456024|16.79 |15.42 |13.89 |     ~|10.83 |M              |   2|   0
3069|Cl* NGC 602 FMB 4                  |AB*|01 29 13.8080487077 -73 38 33.408683586|     ~|     ~|     ~|     ~|     ~|M              |   3|   0
3070|Cl* NGC 602 FMB 5                  |AB*|01 30 35.8908654071 -73 37 46.319932219|     ~|     ~|     ~|     ~|     ~|M              |   3|   0
3071|IRAS 23310+6354                    |*  |23 33 22.5518343180 +64 10 58.644869872|     ~|     ~|     ~|12.64 |     ~|M              |   0|   0
3072|GSC 06854-04045                    |*  |18 03 16.3772972218 -29 50 35.479030717|     ~|     ~|     ~|     ~| 9.22 |M              |   1|   0
3073|[LM84] 3-33                        |PM*|03 16 50.3943646684 -35 09 37.932253129|     ~|     ~|13.27 |12.99 |     ~|MV             |   3|   0
3074|GOODS J033204.41-274635.5          |*  |03 32 04.4081 -27 46 35.460            |     ~|26.319|     ~|     ~|21.917|M              |   1|   0
3075|[WDK2001] 43231                    |*  |03 32 05.114 -27 43 17.57              |     ~|25.242|23.334|23.04 |22.263|M              |   4|   0
3076|GOODS J033216.34-274851.7          |*  |03 32 16.3447 -27 48 51.748            |     ~|24.970|     ~|     ~|22.271|M              |   2|   0
3077|WISE J044857.90+291354.5           |*  |04 48 57.8871077448 +29 13 54.778619660|     ~|     ~|     ~|     ~|     ~|M              |   7|   0
3078|2MASS J04332789+1758436            |Y*?|04 33 27.9011595423 +17 58 43.811675665|     ~|     ~|     ~|     ~|     ~|M              |   6|   0
3079|SDSS J144123.87+144926.9           |*  |14 41 23.8821803810 +14 49 26.806377626|     ~|     ~|     ~|     ~|     ~|M              |   2|   0
3080|2MASS J18422511-0441461            |s*r|18 42 25.120 -04 41 46.12              |     ~|     ~|     ~|     ~|     ~|MI             |   1|   0
3081|2MASS J09185733+1457486            |RG*|09 18 57.3293678573 +14 57 48.473413629|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3082|2MASS J09382042+1129503            |RG*|09 38 20.4249389878 +11 29 50.444727000|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3083|2MASS J10015928+1145073            |RG*|10 01 59.2888166612 +11 45 07.360484465|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3084|2MASS J09320380+0555206            |RG*|09 32 03.8132194602 +05 55 20.923716850|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3085|2MASS J11015898+0840434            |RG*|11 01 58.9709238025 +08 40 43.140986679|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3086|2MASS J10540354-0651241            |RG*|10 54 03.5307606295 -06 51 24.203387975|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3087|2MASS J11050381-1639599            |RG*|11 05 03.8173835998 -16 39 59.910320239|     ~|13.137|11.391|     ~|     ~|M              |   2|   0
3088|2MASS J13131756-1642197            |RG*|13 13 17.5825656521 -16 42 19.736614320|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3089|2MASS J13551595-0533495            |RG*|13 55 15.9673871480 -05 33 49.572517023|     ~|     ~|     ~|     ~|     ~|M              |   2|   0
3090|2MASS J14420353-1623495            |RG*|14 42 03.5343194123 -16 23 49.558725511|     ~|13.404|11.601|     ~|     ~|M              |   2|   0
3091|2MASS J15180649-1155361            |RG*|15 18 06.5000330625 -11 55 36.307575515|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3092|ULAS J032746.74-000708.8           |NIR|03 27 46.74 -00 07 08.8                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3093|ULAS J073248.36+272115.5           |*  |07 32 48.36 +27 21 15.5                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3094|ULAS J074030.06+275224.0           |*  |07 40 30.06 +27 52 24.0                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3095|ULAS J074048.14+261900.2           |*  |07 40 48.141 +26 19 00.17              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3096|ULAS J075554.26+273130.9           |*  |07 55 54.262 +27 31 30.91              |     ~|     ~|     ~|     ~|     ~|M              |   2|   0
3097|ULAS J132441.60-004452.4           |*  |13 24 41.597 -00 44 52.44              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3098|2MASS J14423984+0941242            |EB*|14 42 39.8612800320 +09 41 24.226333118|     ~|     ~|16.49 |     ~|     ~|M              |   4|   0
3099|ULAS J145112.50+020744.3           |*  |14 51 12.49 +02 07 44.3                |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3100|ULAS J145254.25-004826.0           |*  |14 52 54.251 -00 48 26.04              |     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3101|2MASS J19531855-3448555            |RB?|19 53 18.5620779467 -34 48 55.560974313|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3102|2MASS J19534690-3459146            |RB?|19 53 46.9025484574 -34 59 14.690286020|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3103|2MASS J19541973-3525442            |RB?|19 54 19.7381443635 -35 25 44.241824891|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3104|2MASS J19544480-3431024            |RB?|19 54 44.8090669045 -34 31 02.424335467|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3105|2MASS J19553880-3547483            |RB?|19 55 38.7989981400 -35 47 48.520717257|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3106|2MASS J19571379-3359130            |RB?|19 57 13.7952876723 -33 59 13.062552204|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3107|2MASS J19572127-3626092            |RB?|19 57 21.2739778715 -36 26 09.208477245|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3108|2MASS J19591632-3411107            |RB?|19 59 16.3262338718 -34 11 10.765623833|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3109|2MASS J20015401-3558348            |RB?|20 01 54.0222865205 -35 58 34.667845905|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3110|2MASS J20041192-3437541            |RB?|20 04 11.9293570597 -34 37 54.241486950|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3111|2MASS J20041677-3508590            |RB?|20 04 16.7680574598 -35 08 59.117369791|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3112|2MASS J20044613-3227255            |RB?|20 04 46.1321807427 -32 27 25.611303175|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3113|2MASS J20050480-3311517            |RB?|20 05 04.8072755398 -33 11 51.761387429|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3114|2MASS J20071791-3223480            |RB?|20 07 17.9127111634 -32 23 48.046996657|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3115|2MASS J20094440-3501218            |RB?|20 09 44.4055611761 -35 01 21.802101668|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3116|CRTS J201046.5-332708              |RB?|20 10 46.6710029308 -33 27 07.866930894|     ~|     ~|14.34 |     ~|     ~|M              |   2|   0
3117|2MASS J20122492-3310058            |RB?|20 12 24.9346863972 -33 10 05.815303233|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3118|2MASS J20134595-3421279            |RB?|20 13 45.9560215691 -34 21 28.021869384|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3119|2MASS J20183323-3807468            |RB?|20 18 33.2396902876 -38 07 46.912395944|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3120|2MASS J20214447-3353414            |RB?|20 21 44.4745084656 -33 53 41.465649043|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3121|2MASS J20233705-3344500            |RB?|20 23 37.0612224560 -33 44 50.108997991|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3122|2MASS J20330508-3416310            |RB?|20 33 05.0858678241 -34 16 31.066644669|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3123|2MASS J20372047-3423140            |RB?|20 37 20.4631389607 -34 23 14.050658520|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3124|2MASS J20384078-3911581            |RB?|20 38 40.7823745104 -39 11 58.155669577|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3125|2MASS J20412659-3613296            |RB?|20 41 26.5976066770 -36 13 29.735136310|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3126|2MASS J20452019-3625220            |RB?|20 45 20.1919582037 -36 25 22.069085678|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3127|2MASS J20485427-3510562            |RB?|20 48 54.2662164545 -35 10 56.140797156|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3128|2MASS J20490681-3547523            |RB?|20 49 06.8132606179 -35 47 52.398211269|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3129|2MASS J20514595-3308115            |RB?|20 51 45.9476706351 -33 08 11.558603845|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3130|2MASS J21083956-3755451            |RB?|21 08 39.5573557146 -37 55 45.157621359|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3131|2MASS J21304974-3440522            |RB?|21 30 49.7386511093 -34 40 52.266673921|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3132|2MASS J21343307-3436437            |RB?|21 34 33.0729713372 -34 36 43.791480962|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3133|2MASS J21545225-3331355            |RB?|21 54 52.2471211842 -33 31 35.493387544|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3134|2MASS J22011809-3316344            |RB?|22 01 18.1039792204 -33 16 34.505795514|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3135|2MASS J22514994-3659556            |RB?|22 51 49.9537869626 -36 59 55.821683180|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3136|2MASS J18541602-3021216            |*  |18 54 16.0156058390 -30 21 21.534199875|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3137|2MASS J18535013-3028128            |*  |18 53 50.1368828221 -30 28 12.879601588|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3138|2MASS J18564238-3022158            |*  |18 56 42.3843229086 -30 22 15.981177526|     ~|     ~|     ~|     ~|     ~|M              |   5|   0
3139|2MASS J18552078-3006224            |*  |18 55 20.7848052177 -30 06 22.691338644|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3140|2MASS J18565362-3026592            |*  |18 56 53.6230065552 -30 26 59.074387328|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
3141|2MASS J18565416-3025595            |*  |18 56 54.1685180426 -30 25 59.462965359|     ~|     ~|     ~|     ~|     ~|M              |   1|   0
